wavenumber,Intensity_corr
410.7434658260538,158.11441000000002
412.4217936572749,151.03132
414.09988948533805,144.82934
415.7777533583427,138.92722
417.4553853243841,132.98459
419.1327854315358,128.07363999999998
420.8099537278669,124.93698
422.4868902614207,121.42862
424.16359508023595,118.70233
425.8400682323341,115.35588
427.51630976573233,113.27099
429.1923197284131,111.33933
430.86809816837626,108.02652
432.54364513357814,106.40964
434.21896067198827,104.56216
435.8940448315413,102.28527
437.56889766017207,100.75251
439.2435192057936,99.17092699999999
440.9179095163189,97.01851
442.59206863962646,96.186505
444.2659966236032,94.728729
445.9396935161059,93.012559
447.6131593649955,91.728531
449.2863942181027,91.008019
450.9593981232539,89.53023800000001
452.6321711282623,88.54083399999999
454.3047132809239,87.297971
455.977024629026,86.495826
457.64910522033426,85.89932300000001
459.32095510261854,85.063046
460.9925743236142,84.26619099999999
462.6639629310607,83.12466
464.33512097267175,82.026617
466.00604849615644,81.32831900000001
467.67674554920677,80.970737
469.3472121795059,80.039295
471.0174484347154,79.230248
472.68745436249236,78.833661
474.3572300104767,78.25196700000001
476.0267754262953,77.625091
477.69667695896857,77.082156
479.36576197245023,76.649585
481.03461689659457,76.230118
482.70324177895895,75.699766
484.37163666711393,75.128218
486.03980160860823,74.813292
487.7077366509776,74.48535
489.3754418417405,73.612886
491.0429172284066,73.556028
492.7101628584771,73.299306
494.37717877942686,72.978782
496.0439650387311,72.609617
497.710521683843,72.081732
499.37684876221607,71.693628
501.0429463212689,70.760795
502.70881440842453,70.522482
504.37445307108425,70.61908199999999
506.03986235664945,70.581918
507.7050423124866,70.199297
509.36999298596686,69.983215
511.03471442443936,69.73840799999999
512.6992066752491,69.464401
514.363469785715,69.614069
516.0275038031602,69.045603
517.6913087748735,69.58064
519.354884748152,69.090485
521.0182317702582,68.977317
522.6813498884677,68.901444
524.344239150017,69.032105
526.006899602147,69.002955
527.6693312920811,69.164677
529.3315342670213,69.310503
530.9935085741737,69.22716
532.6552542607096,69.64352
534.3167713738137,69.89529
535.9780599606271,69.94380100000001
537.6391200683081,70.21777900000001
539.2999517439762,70.466797
540.9605550347638,70.542567
542.6209299877602,70.604709
544.2810766500714,70.393269
545.9409950687696,69.970482
547.6006852909218,69.692517
549.2601473635825,69.009254
550.9193813337974,68.46
552.5783872485863,68.12457
554.2371651549687,67.662815
555.8957150999383,67.428509
557.5540371304975,67.000349
559.2121312936139,66.55722
560.8699976362551,66.391197
562.5276362053672,66.165762
564.1850470478873,66.016535
565.8422302107398,65.91198800000001
567.4991857408402,65.636318
569.1559136850868,65.533221
570.8124140903561,65.540045
572.4686870035379,65.125035
574.1247324714737,65.121437
575.7805505410274,65.128603
577.436141259019,65.002403
579.0915046722818,65.002414
580.7466408276141,65.137302
582.4015497718233,64.973014
584.0562315516775,64.765004
585.7106862139577,65.014676
587.3649138054193,64.775231
589.0189143728086,64.825518
590.672687962846,64.569347
592.326234622265,64.29374200000001
593.97955439776,64.49978
595.6326473360342,64.578412
597.2855134837602,64.33004
598.9381528876065,64.433121
600.5905655942283,64.495441
602.2427516502682,64.50905399999999
603.8947111023599,66.079762
605.5464439971066,70.795538
607.1979503811291,80.616709
608.8492303010004,70.729911
610.500283803315,65.423725
612.1511109346244,64.350499
613.8017117414885,64.312133
615.4520862704455,64.466526
617.1022345680252,64.332318
618.7521566807311,64.291668
620.4018526550798,64.419719
622.0513225375446,64.44255
623.7005663746161,64.229501
625.3495842127458,64.214559
626.9983760983896,64.19041
628.6469420779816,64.125405
630.295282197952,64.247345
631.9433965047086,64.34
633.5912850446513,64.58722399999999
635.238947864175,64.594933
636.8863850096402,64.550629
638.5335965274162,64.527756
640.1805824638503,64.42967800000001
641.8273428652772,64.412032
643.4738777780225,64.456887
645.120187248399,64.582003
646.7662713226978,64.690343
648.4121300472101,64.917658
650.0577634682052,65.04336500000001
651.7031716319439,65.10005600000001
653.3483545846739,65.415743
654.9933123726343,65.46843799999999
656.6380450420337,65.345485
658.2825526390982,65.580881
659.9268352100105,65.669132
661.5708928009618,65.834518
663.2147254581221,65.608373
664.858333227652,65.765769
666.5017161556998,65.726618
668.1448742883872,65.715304
669.7883847076644,65.625032
671.4310933090845,65.816575
673.0735772534887,65.776769
674.715836586964,65.647229
676.3578713555804,65.623884
677.9996816053991,65.58
679.6412673824599,65.564705
681.282628732802,65.408523
682.9237657024391,65.39694
684.5646783373805,65.50205
686.2053666836223,65.32777200000001
687.8458307871477,65.618998
689.4860706939226,65.520581
691.1260864499083,65.539568
692.7658781010447,65.299329
694.4054456932718,65.63092400000001
696.0447892724987,66.050498
697.6839088846439,66.08
699.3228045755907,66.31408
700.9614763912267,66.401939
702.5999243774227,66.436083
