,ACN_probe405nm_13mW_1800BLZ_10s_10acc,
Wavelength [nm],Counts,
439.49565,7893.0199,
439.52412,7902.4436,
439.55259,7857.0253,
439.58106,7909.6665,
439.60953,7966.6417,
439.63800,7954.4639,
439.66647,7905.7158,
439.69494,7933.8747,
439.72341,7934.0969,
439.75188,7906.1076,
439.78035,7906.3732,
439.80882,7940.741,
439.83729,7939.1519,
439.86576,7929.5173,
439.89423,7896.5064,
439.92270,7908.5099,
439.95117,7947.6866,
439.97964,7943.4126,
440.00811,7902.5352,
440.03658,7927.164,
440.06505,7918.2216,
440.09352,7937.9573,
440.12199,7954.0717,
440.15046,7922.3466,
440.17893,7935.2713,
440.20740,7957.7976,
440.23587,7990.2103,
440.26434,7945.0573,
440.29281,7923.7001,
440.32128,7906.2239,
440.34975,7908.5376,
440.37822,7899.6136,
440.40669,7906.7586,
440.43516,7917.033,
440.46363,7946.9641,
440.49210,7915.1077,
440.52057,7901.6193,
440.54904,7901.7996,
440.57751,7915.8185,
440.60598,7866.7542,
440.63445,7935.1074,
440.66292,7939.5064,
440.69139,7938.435,
440.71986,7923.4451,
440.74833,7913.3702,
440.77680,7929.7615,
440.80527,7933.4766,
440.83374,7948.5662,
440.86221,7958.2299,
440.89068,7923.9744,
440.91915,7905.7469,
440.94762,7945.5606,
440.97609,7958.088,
441.00456,7935.6717,
441.03303,7911.5625,
441.06150,7919.483,
441.08997,7917.8995,
441.11844,7904.2325,
441.14691,7953.1213,
441.17538,7972.6775,
441.20385,7944.5028,
441.23232,7930.995,
441.26079,7944.0026,
441.28926,7937.2675,
441.31773,7941.9985,
441.34620,7975.2821,
441.37467,8010.7519,
441.40314,7980.4914,
441.43161,7996.5231,
441.46008,8004.3565,
441.48855,7963.1968,
441.51702,7978.9978,
441.54549,8007.6043,
441.57396,8007.3719,
441.60243,7985.0394,
441.63090,8022.2016,
441.65937,8061.7132,
441.68784,8082.1817,
441.71631,8047.9662,
441.74478,8045.1076,
441.77325,8081.5935,
441.80172,8063.2416,
441.83019,8063.4968,
441.85866,8115.3109,
441.88713,8135.3499,
441.91560,8164.3734,
441.94407,8200.5453,
441.97254,8240.1328,
442.00101,8216.4838,
442.02948,8224.2559,
442.05795,8259.6434,
442.08642,8262.166,
442.11489,8331.485,
442.14336,8333.0265,
442.17183,8365.3277,
442.20030,8338.2886,
442.22877,8388.5031,
442.25724,8344.8884,
442.28571,8348.2442,
442.31418,8331.2369,
442.34265,8315.8118,
442.37112,8321.3002,
442.39959,8360.6461,
442.42806,8327.627,
442.45653,8326.7456,
442.48500,8308.7991,
442.51347,8292.2806,
442.54194,8296.2171,
442.57041,8309.1149,
442.59888,8309.0159,
442.62735,8296.3736,
442.65582,8299.3731,
442.68429,8301.9513,
442.71277,8306.3947,
442.74124,8340.0095,
442.76971,8286.5687,
442.79818,8329.0678,
442.82665,8326.3089,
442.85512,8355.5175,
442.88359,8361.8307,
442.91206,8349.6257,
442.94053,8368.7695,
442.96900,8363.3771,
442.99747,8379.9798,
443.02594,8403.982,
443.05441,8360.6535,
443.08288,8436.5517,
443.11135,8452.3756,
443.13982,8476.6073,
443.16829,8454,
443.19676,8474.2025,
443.22523,8524.1578,
443.25370,8553.202,
443.28217,8565.4571,
443.31064,8596.9313,
443.33911,8626.6458,
443.36758,8594.8264,
443.39605,8613.0471,
443.42452,8629.1396,
443.45299,8660.2345,
443.48146,8688.8255,
443.50993,8732.1394,
443.53840,8747.5427,
443.56687,8784.4185,
443.59534,8841.2971,
443.62381,8809.2718,
443.65228,8907.4359,
443.68075,8895.8035,
443.70922,8963,
