,FeF20+Zn(Hg)_probe405nm_13mW_1800BLZ_10s_10acc,
Wavelength [nm],Counts,
439.60953,12641.133,
439.63800,12618.957,
439.66647,12616.93,
439.69494,12634.583,
439.72341,12635.142,
439.75188,12638.25,
439.78035,12626.512,
439.80882,12601.378,
439.83729,12546.987,
439.86576,12533.264,
439.89423,12517.86,
439.92270,12510.29,
439.95117,12487.842,
439.97964,12451.319,
440.00811,12499.091,
440.03658,12496.682,
440.06505,12468.205,
440.09352,12434.015,
440.12199,12423.607,
440.15046,12410.408,
440.17893,12413.831,
440.20740,12373.585,
440.23587,12431.093,
440.26434,12399.686,
440.29281,12429.427,
440.32128,12335.332,
440.34975,12443.514,
440.37822,12426.902,
440.40669,12341.595,
440.43516,12405.944,
440.46363,12353.032,
440.49210,12355.466,
440.52057,12379.76,
440.54904,12390.422,
440.57751,12292.334,
440.60598,12333.269,
440.63445,12307.074,
440.66292,12350.305,
440.69139,12322.245,
440.71986,12245.982,
440.74833,12313.858,
440.77680,12283.078,
440.80527,12209.383,
440.83374,12243.904,
440.86221,12262.138,
440.89068,12262.055,
440.91915,12270.415,
440.94762,12323.202,
440.97609,12349.907,
441.00456,12329.949,
441.03303,12299.851,
441.06150,12221.438,
441.08997,12206.255,
441.11844,12267.914,
441.14691,12264.953,
441.17538,12179.036,
441.20385,12278.386,
441.23232,12223.059,
441.26079,12249.54,
441.28926,12214.304,
441.31773,12266.983,
441.34620,12241.704,
441.37467,12228.305,
441.40314,12168.86,
441.43161,12241.491,
441.46008,12299.362,
441.48855,12245.001,
441.51702,12246.831,
441.54549,12263.598,
441.57396,12268.421,
441.60243,12288.315,
441.63090,12281.257,
441.65937,12307.273,
441.68784,12290.775,
441.71631,12281.813,
441.74478,12277.104,
441.77325,12237.835,
441.80172,12279.465,
441.83019,12258.133,
441.85866,12250.14,
441.88713,12281.573,
441.91560,12307.315,
441.94407,12279.042,
441.97254,12280.231,
442.00101,12274.245,
442.02948,12285.561,
442.05795,12310.939,
442.08642,12275.485,
442.11489,12381.463,
442.14336,12385.027,
442.17183,12400.287,
442.20030,12321.639,
442.22877,12304.048,
442.25724,12356.538,
442.28571,12372.541,
442.31418,12349.211,
442.34265,12289.654,
442.37112,12298.567,
442.39959,12289.194,
442.42806,12266.303,
442.45653,12225.453,
442.48500,12240.496,
442.51347,12160.095,
442.54194,12141.96,
442.57041,12144.523,
442.59888,12128.569,
442.62735,12086.323,
442.65582,12032.736,
442.68429,12022.548,
442.71277,12066.263,
442.74124,12070.263,
442.76971,12079.856,
442.79818,12067.072,
442.82665,12087.431,
442.85512,12073.544,
442.88359,12063.677,
442.91206,12108.69,
442.94053,12092.219,
442.96900,12027.207,
442.99747,12079.321,
443.02594,12151.121,
443.05441,12083.686,
443.08288,12154.965,
443.11135,12087.423,
443.13982,12112.404,
443.16829,12092.758,
443.19676,12094.536,
443.22523,12033.579,
443.25370,12056.992,
443.28217,12071.755,
443.31064,12042.903,
443.33911,12048.31,
443.36758,12090.251,
443.39605,12072.468,
443.42452,12115.835,
443.45299,12177.078,
443.48146,12187,
443.50993,12169.397,
443.53840,12154.515,
443.56687,12195.702,
443.59534,12210.237,
443.62381,12186.209,
443.65228,12219.018,
443.68075,12304.709,
443.70922,12290,
