,FeF20+Zn(Hg)_probe405nm_13mW_1800BLZ_10s_10acc,
Wavelength [nm],Counts,
413.16082,7060.486,
413.18929,7063.9796,
413.21776,7057.1342,
413.24623,7045.6423,
413.27470,7031.1188,
413.30317,7051.0064,
413.33164,7049.1676,
413.36011,7012.3186,
413.38858,7055.7833,
413.41705,7053.4469,
413.44552,7095.1737,
413.47399,7082.226,
413.50246,7023.9134,
413.53093,7118.8329,
413.55940,7077.0398,
413.58787,7083.89,
413.61634,7079.1853,
413.64481,7134.5564,
413.67328,7136.1592,
413.70175,7165.6733,
413.73022,7213.7804,
413.75869,7179.7231,
413.78716,7147.9226,
413.81563,7170.7074,
413.84410,7187.3218,
413.87257,7198.5041,
413.90104,7193.4773,
413.92951,7134.6757,
413.95798,7141.0086,
413.98645,7132.6779,
414.01492,7090.5276,
414.04339,7096.0616,
414.07186,7058.9889,
414.10033,7062.2174,
414.12880,7079.4753,
414.15727,7040.7064,
414.18574,7046.353,
414.21421,7068.2084,
414.24268,7068.0629,
414.27115,7067.6526,
414.29962,7096.9516,
414.32809,7119.1615,
414.35656,7087.6289,
414.38503,7070.128,
414.41350,7067.6332,
414.44197,7074.6337,
414.47044,7074.6929,
414.49891,7068.8125,
414.52738,7074.8767,
414.55585,7109.6432,
414.58432,7074.4478,
414.61279,7077.8872,
414.64126,7119.1375,
414.66973,7104.1633,
414.69820,7133.2906,
414.72667,7130.9474,
414.75514,7151.3683,
414.78361,7135.8874,
414.81208,7163.7092,
414.84055,7133.8455,
414.86902,7170.7758,
414.89749,7168.0557,
414.92596,7167.7143,
414.95443,7134.1069,
414.98290,7139.9937,
415.01137,7147.8412,
415.03984,7183.5713,
415.06831,7135.038,
415.09678,7120.9117,
415.12525,7137.203,
415.15372,7131.905,
415.18219,7090.1865,
415.21066,7088.2496,
415.23913,7076.527,
415.26760,7091.077,
415.29607,7126.796,
415.32454,7092.2836,
415.35301,7086.8263,
415.38148,7084.5579,
415.40995,7077.9442,
415.43842,7083.7465,
415.46689,7102.0976,
415.49536,7095.6334,
415.52383,7094.8541,
415.55230,7118.2443,
415.58077,7136.7635,
415.60924,7135.0285,
415.63771,7158.8153,
415.66618,7159.3344,
415.69465,7168.4941,
415.72312,7186.8928,
415.75159,7183.4719,
415.78006,7184.9517,
415.80853,7178.5081,
415.83700,7177.6033,
415.86547,7201.3215,
415.89394,7210.6571,
415.92241,7200.3771,
415.95088,7201.109,
415.97935,7216.4045,
416.00782,7221.5888,
416.03629,7190.8959,
416.06476,7179.8119,
416.09323,7206.1101,
416.12170,7243,
416.15017,7245.1637,
416.17864,7243.8937,
416.20711,7224.8974,
416.23558,7238.7214,
416.26405,7262.3263,
416.29253,7239.1811,
416.32100,7204.9382,
416.34947,7230.8143,
416.37794,7266.1986,
416.40641,7252.676,
416.43488,7232.6043,
416.46335,7210.0279,
416.49182,7266.4198,
416.52029,7210.6771,
416.54876,7237.9582,
416.57723,7236.6373,
416.60570,7223.3808,
416.63417,7260.7792,
416.66264,7264.9136,
416.69111,7233.2314,
416.71958,7260.4104,
416.74805,7224.7443,
416.77652,7271.4544,
416.80499,7278.7009,
416.83346,7342.7088,
416.86193,7321.4393,
416.89040,7299.0644,
416.91887,7359.7465,
416.94734,7362.9413,
416.97581,7392.5243,
417.00428,7476.1442,
417.03275,7494.4439,
417.06122,7474.1612,
417.08969,7544.3001,
417.11816,7636.7124,
417.14663,7701.9385,
417.17510,7847.4232,
417.20357,8036.2784,
417.23204,8239.8627,
417.26051,8440.8414,
417.28898,8565.7235,
417.31745,8570.5393,
417.34592,8475.6003,
417.37439,8343.6578,
417.40286,8149.9692,
417.43133,7973.599,
417.45980,7870.9208,
417.48827,7803.9209,
417.51674,7756.8785,
417.54521,7747.7612,
417.57368,7766.0255,
417.60215,7794.5148,
417.63062,7803.1154,
417.65909,7808.913,
417.68756,7818.4189,
417.71603,7824.285,
417.74450,7821.3349,
417.77297,7763.8362,
417.80144,7734.9245,
417.82991,7725.116,
417.85838,7719.4573,
417.88685,7701.3607,
417.91532,7661.5405,
417.94379,7649.7887,
417.97226,7675.7148,
418.00073,7636.6353,
418.02920,7604.3182,
418.05767,7625.4467,
418.08614,7598.3279,
418.11461,7553.673,
418.14308,7481.9148,
418.17155,7513.4829,
418.20002,7552.1831,
418.22849,7577.0988,
418.25696,7548.5366,
418.28543,7546.6813,
418.31390,7523.3128,
418.34237,7513.015,
418.37084,7509.0497,
418.39931,7518.147,
418.42778,7481.9274,
418.45625,7490.6341,
418.48472,7498.9547,
418.51319,7521.2758,
418.54166,7509.822,
418.57013,7489.5783,
418.59860,7503.3203,
418.62707,7514.2377,
418.65554,7527.9069,
418.68401,7509.1354,
418.71248,7500.1719,
418.74095,7501.9379,
418.76942,7537.4129,
418.79789,7471.8844,
418.82636,7496.0058,
418.85483,7500.7655,
418.88330,7501.9102,
418.91177,7514.5798,
418.94024,7531.9662,
418.96871,7545.3817,
418.99718,7521.942,
419.02565,7530.7902,
419.05412,7551.5095,
419.08259,7616.4244,
419.11106,7588.0585,
419.13953,7570.9235,
419.16800,7610.4195,
419.19647,7610.7891,
419.22494,7586.3157,
419.25341,7595.2695,
419.28188,7624.0821,
419.31035,7604.5568,
419.33882,7611.8108,
419.36729,7613.6791,
419.39576,7616.2567,
419.42423,7648.7477,
419.45270,7685.3995,
419.48117,7721.0743,
419.50964,7749.68,
419.53811,7719.2507,
419.56658,7744.2473,
419.59506,7755.0065,
419.62353,7760.7675,
419.65200,7759.1507,
419.68047,7722.1238,
419.70894,7696.047,
419.73741,7686.7328,
419.76588,7703.1336,
419.79435,7679.56,
419.82282,7648.8892,
419.85129,7669.8222,
419.87976,7699.2511,
419.90823,7685.8547,
419.93670,7653.124,
419.96517,7674.4299,
419.99364,7720.9143,
420.02211,7732.5867,
420.05058,7709.8739,
420.07905,7734.9362,
420.10752,7776.8937,
420.13599,7775.8016,
420.16446,7790.3224,
420.19293,7827.8238,
420.22140,7875.4225,
420.24987,7901.2157,
420.27834,7930.5307,
420.30681,7958.1624,
420.33528,8055.1869,
420.36375,8136.3665,
420.39222,8205.1892,
420.42069,8342.7478,
420.44916,8538.4045,
420.47763,8875.0788,
420.50610,9565.5556,
420.53457,10635.373,
420.56304,12129.53,
420.59151,13790.137,
420.61998,15282.043,
420.64845,16291.475,
420.67692,16668.137,
420.70539,16266.233,
420.73386,15180.283,
420.76233,13784.239,
420.79080,12375.176,
420.81927,11102.492,
420.84774,10127.341,
420.87621,9408.4375,
420.90468,8993.4253,
420.93315,8649.1506,
420.96162,8432.0717,
420.99009,8306.4971,
421.01856,8271.4441,
421.04703,8204.3331,
421.07550,8213.7924,
421.10397,8157.8823,
421.13244,8134.4899,
421.16091,8204.0145,
421.18938,8213.3995,
421.21785,8179.8442,
421.24632,8259.3836,
421.27479,8310.0661,
421.30326,8472.5492,
421.33173,8576.4915,
421.36020,8777.0865,
421.38867,8907.4964,
421.41714,8954.7318,
421.44561,8987.5239,
421.47408,8909.561,
421.50255,8856.0998,
421.53102,8709.7079,
421.55949,8588.6748,
421.58796,8474.0433,
421.61643,8431.5954,
421.64490,8372.6888,
421.67337,8334.9728,
421.70184,8334.5009,
421.73031,8357.2859,
421.75878,8308.9167,
421.78725,8299.2061,
421.81572,8394.6174,
421.84419,8349.4629,
421.87266,8340.1448,
421.90113,8360.5368,
421.92960,8415.4335,
421.95807,8414.1015,
421.98654,8449.5333,
422.01501,8455.773,
422.04348,8497.7519,
